system,config,llm,execution,f1_serv,f1_inter,yaml_valid,total_tokens,duration_ms
TNTConcept,C1,Gemini,1,0.9231,0.7761,0,60935,82726.915
7ep,C1,Gemini,2,1.0,1.0,1,113905,184868.103
AcmeAir,C1,Gemini,2,1.0,1.0,1,53067,66840.826
Cargo-Tracker,C1,Gemini,2,0.9091,0.8421,1,49762,53113.875
DayTrader7,C1,Gemini,2,1.0,0.9091,1,62474,91156.79
JPetStore,C1,Gemini,2,1.0,0.9412,1,53070,62522.609
Jokul,C1,Gemini,2,1.0,1.0,1,39957,31441.044
PetClinic,C1,Gemini,2,1.0,1.0,1,42442,43213.248
TNTConcept,C1,Gemini,2,0.9231,0.8,0,79291,132803.996
7ep,C1,Gemini,3,1.0,1.0,1,54039,69407.058
AcmeAir,C1,Gemini,3,1.0,1.0,1,41582,32094.356
Cargo-Tracker,C1,Gemini,3,0.7143,0.7273,1,55317,67580.768
DayTrader7,C1,Gemini,3,1.0,0.6667,1,61875,87191.832
JPetStore,C1,Gemini,3,1.0,0.9412,1,47630,55242.258
Jokul,C1,Gemini,3,1.0,1.0,1,40399,32139.409
PetClinic,C1,Gemini,3,1.0,1.0,1,45832,61217.598
TNTConcept,C1,Gemini,3,0.9231,0.8,1,80712,142281.745
7ep,C2,Gemini,1,1.0,1.0,1,38989,30506.561
AcmeAir,C2,Gemini,1,1.0,1.0,1,33611,19456.3
Cargo-Tracker,C2,Gemini,1,0.9091,0.8421,1,49064,52803.586
DayTrader7,C2,Gemini,1,1.0,0.9091,1,49420,57616.093
JPetStore,C2,Gemini,1,1.0,0.9412,1,44261,50005.822
Jokul,C2,Gemini,1,1.0,1.0,1,34259,25710.308
PetClinic,C2,Gemini,1,1.0,1.0,1,34596,27192.949
TNTConcept,C2,Gemini,1,0.9231,0.7879,1,39565,36884.101
7ep,C2,Gemini,2,1.0,0.9524,1,43974,46035.23
AcmeAir,C2,Gemini,2,1.0,1.0,1,37322,26624.891
Cargo-Tracker,C2,Gemini,2,0.9091,0.8421,1,52004,70682.172
DayTrader7,C2,Gemini,2,1.0,0.9565,1,83930,150561.008
JPetStore,C2,Gemini,2,1.0,0.9412,1,66859,76880.068
Jokul,C2,Gemini,2,1.0,1.0,1,33943,22232.456
PetClinic,C2,Gemini,2,1.0,1.0,1,39027,43782.847
TNTConcept,C2,Gemini,2,0.9231,0.8,1,67515,123550.355
7ep,C2,Gemini,3,1.0,0.9524,1,57390,58181.057
AcmeAir,C2,Gemini,3,1.0,1.0,1,36444,32231.036
Cargo-Tracker,C2,Gemini,3,0.9091,0.8421,1,44906,50587.366
DayTrader7,C2,Gemini,3,0.9231,0.88,1,40558,35630.713
JPetStore,C2,Gemini,3,1.0,0.9412,1,58964,64005.552
Jokul,C2,Gemini,3,1.0,1.0,1,33388,21647.962
PetClinic,C2,Gemini,3,1.0,1.0,1,44440,46483.567
TNTConcept,C2,Gemini,3,0.9231,0.7761,0,47810,67749.327
7ep,C3,Gemini,1,1.0,0.9524,1,11413,21072.77
AcmeAir,C3,Gemini,1,1.0,0.5714,1,16234,37985.665
Cargo-Tracker,C3,Gemini,1,0.9091,0.0,1,13421,30021.519
DayTrader7,C3,Gemini,1,1.0,0.9091,1,28794,81926.504
JPetStore,C3,Gemini,1,1.0,0.9412,1,16661,37723.819
Jokul,C3,Gemini,1,1.0,1.0,1,7899,18748.287
PetClinic,C3,Gemini,1,1.0,0.6667,1,7233,15966.495
TNTConcept,C3,Gemini,1,0.9231,0.6154,1,17604,46543.338
7ep,C3,Gemini,2,1.0,1.0,1,11797,23214.217
AcmeAir,C3,Gemini,2,1.0,1.0,1,9313,16677.616
Cargo-Tracker,C3,Gemini,2,0.7692,0.56,0,24095,78400.833
DayTrader7,C3,Gemini,2,1.0,0.9091,1,21028,55275.39
JPetStore,C3,Gemini,2,1.0,0.4286,1,12814,27977.009
Jokul,C3,Gemini,2,1.0,1.0,1,7362,14854.273
PetClinic,C3,Gemini,2,1.0,1.0,1,8093,17497.263
TNTConcept,C3,Gemini,2,0.9231,0.7302,1,40411,143767.747
7ep,C3,Gemini,3,1.0,0.9524,1,9773,18812.035
AcmeAir,C3,Gemini,3,1.0,1.0,1,11523,51268.619
Cargo-Tracker,C3,Gemini,3,0.9091,0.8421,1,24854,61739.12
DayTrader7,C3,Gemini,3,1.0,0.9091,1,19817,52010.85
JPetStore,C3,Gemini,3,1.0,0.9412,1,14303,32480.862
Jokul,C3,Gemini,3,1.0,1.0,1,7153,18831.202
PetClinic,C3,Gemini,3,1.0,1.0,1,7672,31812.476
TNTConcept,C3,Gemini,3,0.9231,0.7077,1,13647,38379.314
